ResourceID,name_of_consultation,date_logged,consult_type,development_type,application_type,consult_status,condition_type,condition_description,communication_date,communication_type,communication_notes,planning_outcome,audit_outcome,geometry
131d12bb-e11a-49e6-99b3-116cd478eb2e,Consultation for 40 Sheridan Pass,2018-10-12,Condition Application,Building alteration,Appeal,Project Initiation,Building Engagement,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",18/05/2019,Telephone,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,Approved - with watching brief condition,IT Failure,POINT (-0.102823173052882 51.5288503120177)
4f6ff468-4f85-4fe0-a049-c0accd972b08,Consultation for 97985 Pennsylvania Way,2019-03-17,Pre-Application,Mixed Use,Listed Building Consent,Post-excavation assessment,Building Recording,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",04/02/2019,Mail,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",Approved - with full condition,Information Unavailable,POINT (-0.103233121510535 51.5288405433044)
f6721f96-bb95-42ce-9b90-a8e61bc0968d,Consultation for 4 Goodland Junction,2019-04-05,Pre-Application,Mixed Use,Appeal,Post-excavation assessment,Agree WSI,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum. Aliquam non mauris.,28/04/2019,Mail,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Approved - with full condition,IT Failure,POINT (-0.103882860028164 51.5292877119525)
7cb77e2e-f073-441c-af4c-7a36edbcd250,Consultation for 1 Holy Cross Point,2019-03-02,Condition Application,Road construction,Enquiry,Project Initiation,Building Recording,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",27/05/2019,Email,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Approved - with full condition,Further Information Required,POINT (-0.103635381217954 51.5293760987093)
daf8df4a-e3f9-4fea-b23c-a416672e14e9,Consultation for 5 Katie Avenue,2019-04-13,Pre-Application,Land restoration,Prior Approval,Aborted,Building Engagement,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",01/09/2018,Mail,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",Implemented,Leave,POINT (-0.101174042831662 51.5297795685367)
50de635e-ddc3-45fb-8435-1d772a796937,Consultation for 173 Rieder Court,2019-05-01,Condition Application,Land restoration,Listed Building Consent,Completed,Agree WSI,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",14/06/2019,Mail,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Approved - with watching brief condition,IT Failure,POINT (-0.102543976214545 51.5313138057925)
763250f1-d311-462e-ae4c-37bd2ae4739c,Consultation for 7496 Mosinee Hill,2019-03-23,Pre-Application,Building alteration,Appeal,Pre-decision assessment/evaluation,Building Recording,Integer ac leo. Pellentesque ultrices mattis odio. Donec vitae nisi.,14/12/2018,Email,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst.,No outcome,Leave,POINT (-0.101622299337343 51.5314125028995)
b3dce211-328d-4f82-ba5e-d5883a276b27,Consultation for 98 Kenwood Circle,2019-03-19,Condition Application,Land restoration,Enquiry,Dormant,Agree WSI,"Proin eu mi. Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",15/08/2018,Email,"Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",Implemented,IT Failure,POINT (-0.105995883517516 51.5344111584456)
5f4bb41c-26bd-41bd-8098-cf4817a754cc,Consultation for 91 Ilene Way,2018-12-12,Pre-Application,Mixed Use,Prior Approval,Dormant,Building Recording,Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.,23/01/2019,Mail,Phasellus in felis. Donec semper sapien a libero. Nam dui.,Approved - with watching brief condition,Extended Deadline,POINT (-0.108065340601895 51.5268777659581)
3cecb017-2598-4fbe-979a-68a6861b87e4,Consultation for 23 Elka Way,2018-12-22,Condition Application,Road construction,Appeal,Project Initiation,Agree WSI,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.",30/01/2019,Telephone,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.,Approved - with watching brief condition,IT Failure,POINT (-0.105106722645596 51.5285316344363)
18fa1fb8-453c-48fd-a370-4ef94307f646,Consultation for 9 Farwell Park,2018-09-22,Condition Application,Land restoration,Listed Building Consent,Mitigation,Agree WSI,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",16/06/2019,Telephone,In congue. Etiam justo. Etiam pretium iaculis justo.,Approved - with full condition,Leave,POINT (-0.105265510459367 51.5288210864908)
20c80f5d-eeb4-4b49-876e-4327fb644cd6,Consultation for 91329 Eliot Trail,2018-11-29,Condition Application,Mixed Use,Appeal,Pre-decision assessment/evaluation,Agree WSI,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,02/11/2018,Telephone,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus.",Implemented,Leave,POINT (-0.108206677594588 51.5306410461205)
b6c68670-29e9-425c-a1c1-1db4f707ad6c,Consultation for 46356 Dakota Street,2019-05-15,Condition Application,Road construction,Enquiry,Post-excavation assessment,Building Recording,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",13/02/2019,Mail,Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus.,Implemented,Extended Deadline,POINT (-0.10844514458844 51.5309354622556)
8847ac13-1129-463d-80ab-46cff946d438,Consultation for 371 Florence Alley,2018-10-21,Pre-Application,Mixed Use,Enquiry,Aborted,Agree WSI,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,27/09/2018,Telephone,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,Approved - with legal agreement,Leave,POINT (-0.10814896955495 51.5310173037811)
b3aef02e-869c-4129-895e-bd5e97d14bac,Consultation for 29 Troy Way,2018-10-16,Post-Application,Mixed Use,Enquiry,Project Initiation,Agree WSI,Fusce consequat. Nulla nisl. Nunc nisl.,06/03/2019,Mail,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Implemented,Information Unavailable,POINT (-0.107588997853088 51.5297658978719)
f072ea2a-06ee-40e6-803e-7ae73b54d477,Consultation for 69755 Norway Maple Lane,2019-04-04,Pre-Application,Road construction,Prior Approval,Completed,Building Recording,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,04/09/2018,Email,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo.",Approved - with watching brief condition,Information Unavailable,POINT (-0.107567987781837 51.5294519731734)
1295aad6-037b-4328-98da-3c2453ccc5ef,Consultation for 6 Gateway Road,2019-03-31,Condition Application,Mixed Use,Appeal,Project Initiation,Building Recording,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",03/10/2018,Email,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,No outcome,Admin error,POINT (-0.106609530293652 51.530207035461)
04088de1-bf37-4f59-9e2c-a576dd3661f6,Consultation for 09 Northridge Circle,2019-03-31,Post-Application,Building alteration,Listed Building Consent,Pre-decision assessment/evaluation,Building Engagement,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",26/09/2018,Email,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Approved - with full condition,Extended Deadline,POINT (-0.106783634332418 51.52995593034)
b56d8186-4433-45d8-96dd-f2bfd6524360,Consultation for 9420 Sachtjen Drive,2018-10-24,Post-Application,Building alteration,Enquiry,Project Initiation,Agree WSI,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,21/05/2019,Mail,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.",Approved - with legal agreement,Extended Deadline,POINT (-0.105472858517165 51.5290500063733)
a64c0013-f626-4bd7-af24-efa358673732,Consultation for 186 Warrior Pass,2019-04-06,Pre-Application,Building alteration,Listed Building Consent,Mitigation,Building Recording,Sed ante. Vivamus tortor. Duis mattis egestas metus.,28/11/2018,Email,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,Approved - with full condition,Leave,POINT (-0.104807404464516 51.5298563764678)
0d5b4306-ef15-470d-bba2-6cf4133a0bdb,Consultation for 4180 Sauthoff Hill,2019-01-27,Post-Application,Land restoration,Appeal,Project Initiation,Building Engagement,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,11/06/2019,Email,In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus.,Approved - with legal agreement,Extended Deadline,POINT (-0.108604524682992 51.5315862315552)
32c8839f-c8ca-4714-83e4-36a8ac54cd5a,Consultation for 572 Grim Plaza,2018-10-02,Condition Application,Land restoration,Enquiry,Mitigation,Building Engagement,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",08/09/2018,Telephone,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Approved - with watching brief condition,Further Information Required,POINT (-0.108624136362837 51.5331857909559)
2fdc3317-60ea-43f9-91a7-c40d8f890232,Consultation for 9 Riverside Center,2018-09-21,Post-Application,Road construction,Listed Building Consent,Dormant,Building Recording,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,19/03/2019,Mail,"Aenean fermentum. Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",Approved - with full condition,IT Failure,POINT (-0.108879557506898 51.5312590052287)
2458d370-fb3e-4a26-9f79-a7078e0d4802,Consultation for 58 Westerfield Road,2019-05-15,Post-Application,Building alteration,Enquiry,Completed,Building Engagement,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",06/12/2018,Mail,In congue. Etiam justo. Etiam pretium iaculis justo.,Approved - with watching brief condition,Further Information Required,POINT (-0.10707949944831 51.5332202132242)
f2c88b38-1478-4f59-8f48-d2547041eec2,Consultation for 87208 Pine View Avenue,2018-07-25,Pre-Application,Mixed Use,Appeal,Dormant,Building Recording,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",04/10/2018,Mail,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",Approved - with full condition,Admin error,POINT (-0.10772851 51.53132855)
06035e4c-43dc-4df8-821e-4ba6d0261d13,Consultation for 04 Hanson Drive,2018-12-01,Condition Application,Land restoration,Appeal,Dormant,Agree WSI,Nulla ut erat id mauris vulputate elementum. Nullam varius. Nulla facilisi.,13/01/2019,Mail,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat. Vestibulum sed magna at nunc commodo placerat.,Approved - with legal agreement,Leave,POINT (-0.104579371674786 51.5324797355649)
d198cda1-e4d9-4a77-afc0-753915752352,Consultation for 5231 Corry Way,2019-03-01,Post-Application,Road construction,Enquiry,Pre-decision assessment/evaluation,Building Recording,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",24/01/2019,Email,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",Approved - with watching brief condition,Extended Deadline,POINT (-0.104484115355617 51.5335394566697)
c3cfad5b-20f2-4134-a312-b9efc3ec1e99,Consultation for 48920 Mesta Street,2018-10-24,Pre-Application,Mixed Use,Enquiry,Post-excavation assessment,Agree WSI,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",13/06/2019,Mail,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy. Integer non velit.,Approved - with watching brief condition,Admin error,POINT (-0.103112119035633 51.5326760365501)
